Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
alexandre lacazette,Lyon,64,15,35,88,37.8,2022-2023,ligue-1
qazim laci,Ajaccio,2,1,8,20,44.4,2022-2023,ligue-1
alban lafont,Nantes,1,0,0,46,87.5,2022-2023,ligue-1
kenny lala,Brest,18,1,64,119,36.4,2022-2023,ligue-1
mohamed lamine bayo,Lille,13,6,2,13,44.8,2022-2023,ligue-1
julien laporte,Lorient,10,1,0,61,59.6,2022-2023,ligue-1
yasser larouci,Troyes,14,3,50,123,58.8,2022-2023,ligue-1
armand lauriente,Lorient,2,1,6,20,50.0,2022-2023,ligue-1
theo le bris,Lorient,5,0,13,78,41.7,2022-2023,ligue-1
julien le cardinal,Lens,5,0,10,14,56.3,2022-2023,ligue-1
jeremy le douaron,Brest,33,10,32,61,46.2,2022-2023,ligue-1
enzo le fee,Lorient,42,2,136,240,30.6,2022-2023,ligue-1
vincent le goff,Lorient,19,3,39,205,50.8,2022-2023,ligue-1
maxime le marchand,Strasbourg,31,0,11,144,67.0,2022-2023,ligue-1
paolo lebas,Ajaccio,3,0,0,3,,2022-2023,ligue-1
jeanlouis leca,Lens,0,0,0,1,100.0,2022-2023,ligue-1
benjamin lecomte,Montpellier,0,0,0,19,75.0,2022-2023,ligue-1
pierre leesmelou,Brest,43,1,41,278,64.3,2022-2023,ligue-1
felix lemarechal,Brest,6,0,7,13,66.7,2022-2023,ligue-1
mario lemina,Nice,13,0,2,62,55.6,2022-2023,ligue-1
donovan leon,Auxerre,0,0,0,4,,2022-2023,ligue-1
johann lepenant,Lyon,35,0,9,164,48.5,2022-2023,ligue-1
benjamin leroy,Ajaccio,0,0,0,46,100.0,2022-2023,ligue-1
leo leroy,Montpellier,37,1,10,102,61.5,2022-2023,ligue-1
alexandre letellier,Paris S-G,0,0,0,0,,2022-2023,ligue-1
ruan levine,Ajaccio,2,0,0,4,0.0,2022-2023,ligue-1
dimitri lienard,Strasbourg,16,3,119,121,54.5,2022-2023,ligue-1
mateusz lis,Troyes,1,0,0,8,100.0,2022-2023,ligue-1
bradley locko,Reims,10,1,13,77,60.0,2022-2023,ligue-1
bradley locko,Brest,0,0,6,18,60.0,2022-2023,ligue-1
anthony lopes,Lyon,2,0,0,31,100.0,2022-2023,ligue-1
rony lopes,Troyes,19,1,109,113,42.2,2022-2023,ligue-1
pau lopez,Marseille,2,0,0,46,71.4,2022-2023,ligue-1
dion lopy,Reims,31,0,6,128,68.2,2022-2023,ligue-1
jordan lotomba,Nice,23,0,48,131,53.2,2022-2023,ligue-1
dejan lovren,Lyon,10,0,6,103,69.1,2022-2023,ligue-1
jean lucas,Monaco,4,1,1,23,12.5,2022-2023,ligue-1
castello lukeba,Lyon,38,1,3,209,54.5,2022-2023,ligue-1
youssouf mchangama,Auxerre,12,0,35,62,66.7,2022-2023,ligue-1
deiver machado,Lens,42,6,60,116,34.1,2022-2023,ligue-1
soungoutou magassa,Monaco,2,0,0,6,66.7,2022-2023,ligue-1
hugo magnetti,Brest,17,0,20,127,28.0,2022-2023,ligue-1
yohann magnin,Clermont Foot,48,3,14,149,36.5,2022-2023,ligue-1
lovro majer,Rennes,48,3,67,143,46.7,2022-2023,ligue-1
jeanvictor makengo,Lorient,18,0,1,79,50.0,2022-2023,ligue-1
beni makouana,Montpellier,3,0,6,10,30.0,2022-2023,ligue-1
ruslan malinovskyi,Marseille,29,1,38,73,38.5,2022-2023,ligue-1
hianga mananga mbock,Brest,1,0,1,2,50.0,2022-2023,ligue-1
steve mandanda,Rennes,2,0,0,55,85.7,2022-2023,ligue-1
thomas mangani,Ajaccio,24,0,79,94,45.5,2022-2023,ligue-1
vito mannone,Lorient,0,0,0,16,100.0,2022-2023,ligue-1
myziane maolida,Reims,5,1,4,17,50.0,2022-2023,ligue-1
faitout maouassa,Montpellier,32,2,81,83,52.0,2022-2023,ligue-1
